user,date,rating,content
MovieGuy1990,"Feb 19, 2010",10/10,"From the look of the trailer, Martin Scorsese's ""Shutter Island"" looks more like a horror film This is a dangerous place where isolation rules under fascist control. A U.S Marshall is sent to an asylum to investigate a missing patient but discovers so much more. A demon? A ghost? Something more? Is this going to be as disappointing as I think it is?I was skeptical walking into the theater, wondering if this twist could hold water. The film starts with Teddy Daniels and his new partner, Chuck, standing on a ferry. They talk about their assignment. What's suspect here is that there is no additional development. We are bam, smack right into the story without so much as an opening montage. All that we see is the men smoking a couple cigarettes. Though this is what begins as momentous development. As our hero smokes we that this isn't the glorified top lit smoking of a beauty or that of a sophisticated and confident gangster. We see that this is a harsher character with poor posture, someone who doesn't sleep well, someone with a deep pastThey are greeted at the gate by guards whose attitudes' seem immediately suspect. Soon we meet Dr Crawley, a seemingly complex and modern man who runs the asylum. However, he soon turns uncooperative with the investigation. Inmates and staff are hiding something but what? Everyone here seems off. Evidence and clues begin to appear but not before our hero seems riddled by psychosis himself. ""You act like all this madness is contagious."" Daniels says to the guard. Is it? Soon we begin to wonder, too, but not before he uncovers the tip of the iceberg and it's not only painfully intimate with his own past but also a mass conspiracy. The Nazis had concentration camps and the Americans have Shutter Island.Though, it doesn't stop here, but to say anything else would do the story injustice Kingsley is in his finest role in years. Similarly, DiCaprio reaches new levels. Amongst others Elias Koteas, Ted Levine, Michelle Williams, all play small but wonderful roles. Robert Richardson captures a world all of its own.While Scorsese is a master of film I'd say that his specialty has been more character than story. This is a fresh balance of both. It's a mix of noir and thriller. It's only sort of a horror movie and could be compared to ""The Shining"" but it makes it look like it's a one trick pony.All this praise being said it's not for everyone. The story is complex. It takes some attention. At times it's a bit bleak and dire. Of course it all makes a little less sense when you actually think about it but then again that's film. There are a couple of moments where the story gets lost within itself. Things become a bit too complicated. At this point you might begin to lose faith in its viscosity, but don't worry because the story has you right where its put you."
Xstal,"Mar 27, 2023",8/10,"There's an island where unstable people go, are they prisoners or patients, we just don't know, some kept in cages, some are free, surrounded by a fierce sea, but the doctors have a plan, a manifesto. Two Marshalls make the trip, investigate, when an inmate disappears from the estate, vanishing, into thin air, no one knows quite how or where, then a storm arrives, events then bifurcate.Wonderful performances all round in a tale that may leave more questions than answers at the end as it twists and turns, writhes and squirms, revealing an iceberg of a story that has a lot more going on beneath the surface than you originally anticipated."
tsquared226,"Feb 16, 2010",10/10,"Really, Scorsese should just give it away for anyone. The man is one of the most brilliant directors of our time. Anyway, let me get to the actual movie; I just saw it at a early screening and have to write this while I'm thinking about how stunning it was. Shutter Island is certainly not a typical film, not even for Scorsese. It is a different take for the director, and he does it, as he does every film, perfectly, so much as to be in his own league of film-making. I don't want to give anything away, but I will say this: Shutter Island was completely unexpected, and a great start to 2010. It had all the components of a great film, and then some. The acting is spot on from every character; none of it seems forged or out of place. The script is fantastic; it has one of the most intriguing plots I have seen in a while (exception being Tarantino's Basterds). Everything, down to the set's lighting, was perfectly executed. I will say that not everyone will like this; Shutter Island, again, isn't your typical movie. To those, though, who do choose to see this film, be ready for a compelling, gripping, thought-provoking experience, so much so that you might think to see it again for further clarity (I know I will; it was so entertaining and my mind was blown!). Don't be surprised if you see this at the next Oscars..."
Sleepin_Dragon,"Nov 4, 2023",10/10,"US Marshals Teddy Daniels and Chuck Aule travel to an asylum on a remote island, aiming to discover a missing patient, there they discover some very strange goings on there.Shutter Island is probably in my top twenty films of all time, when I first saw it I didn't fully understand it, since then I've studied all sorts of theories, and tried to put the pieces together.You may need to watch it for a second time, as some of the pieces mah not fall into place, but when they do..... The twist was brilliant, I didn't see it coming first time round.Gripping, imaginative, clever, twisted, engrossing, I could go on, it's a wonderful movie, one that really does make you think, as an attentive viewer you will be hugely rewarded.I don't know why, but to me it's never felt like a Martin Scorsese film, maybe it's the tone or the actual story itself, but it's just so unlike any of this other works.Scorsese always knows how to get the best our of Di Caprio, and once again he delivers, it's a quite brilliant performance.10/10."
IamtheRegalTreatment,"Feb 19, 2010",9/10,"Similar to my rating for this film, you can argue that 9 out of 10 people who watch this movie, it will not be their first Scorsese film. Most of us know the genius that he is and coming into this showing we should expect brilliance, and gladly he delivers a captivating storyline driven by great acting. Unfortunately with the release of Shutter Island was also a press release that Taxi Driver may be remade, so that news made me hesitant to care, but I'm glad I was wrong.Shutter Island is the story of Teddy Daniels, A U.S. federal marshall sent to the island with his partner Chuck Aule to search for the disappearance of a patient. Each scene provides a turn against their leads and compels them to look for more whilst searching in places we couldn't comprehend, including their minds. Leonardo DiCaprio and Mark Ruffalo feed off each other and supply great performances for their characters as expected, but some of the other characters whose names are riveted on the posters or marquees are sensational as well. The two that stuck out to me most were Ben Kingsley (Dr. Cawley) and Michelle Williams (Dolores, Teddy's wife), each of whom brought so much dramatics and new questions to the movie, developing plot twists and controversy. I don't think this film would be the same without them.Even to begin explaining details of the plot and how everything comes to fruition causes me to feel migraines alike the ones Teddy gets in the movie, therefore I won't ruin anything for you now. Take my honest word that if you enjoyed any Scorsese movie in the past or have enjoyed movies that include surrealism, Shutter Island combines the two into an intense thriller that boggles the mind and possibly even ""corrode it, rusts it"". Also, if you are hesitant to watch this film because the trailer perceives it as a horror film with a lot of ""jumpy"" scenes, ignore that. I had the same feeling entering it, and there was only one towards the very end, but it was worth the shock. You will miss so much detail trying to cover your eyes for a few minutes sporadically throughout that it's not worth it. Take the risk of jumping out of your seat for once, because it was the best scare I could ask for.9/10. Not Martin's best work, but come on, could you make a better movie than him?"
naman-avastol,"Feb 15, 2010",8/10,"Martin Scorsese returns to film making after winning the academy award for The Departed with his fav star Leonardo DiCaprio.. This time he move to a completely different script which keeps the audience humored and thrilled from the first scene till the last! The movie( which i saw at the Berlin film festival!) blew away the minds of many people, the plot being so strong and thrilling which kept the audiences guessing!When it comes to acting Leonardo lets no stone unturned! The supremely talented actor has once again showed that why Martin casts him in his every movie as he is simply superb! He not only fits into the role smoothly but delivers a terrific performance every time! Sir Kingsley being the head psychiatrist of the asylum has also done a marvelous job!The film is full of flashbacks and haunting dream sequences that range in location from the island itself to the concentration camp at Dachau. The audience is constantly trapped in a world where one questions what is reality and what is dream. Don't miss this one!"
TheLittleSongbird,"Aug 6, 2010",9/10,"I like Martin Scorsesse a lot, and I was interested in seeing Shutter Island. It had a truly intriguing concept and my 17-year old sister was raving about how brilliant the film was. Shutter Island is not Scorsesse's best, but it was atmospheric, clever, incredibly thought-provoking and somewhat disturbing too.I do agree it is too long and that it drags in places, that Shutter Island is still very impressive and gripping. The cinematography is great, dark, expressionistic and Gothic. Same with the scenery which is both picturesque and bleak, while the direction is superb, almost operatic and imaginative. The screenplay is intelligent and the plot gripping and clever, however Shutter Island is one of those films that if you miss a line of dialogue or a plot point you are in danger of missing something important. I also liked the music- admittedly the repeated bass motif which has a knock-on-the-door effect makes us think immediately that something out of the ordinary is going to happen but I have to admit it was haunting, while the Mahler chamber music piece along with the more gut-wrenching images at Dacchau was put to effective use, though coming from a classical music enthusiast I never knew Mahler wrote chamber music.The acting is very good, Leonardo DiCaprio and Ben Kingsley are both excellent, and Mark Ruffalo was surprisingly good too. Max Von Sydow is also good, and although I wasn't sure about Michelle Williams at first she was suitably eerie and haunting. Finally the ending, some have said it was clever, others were underwhelmed by it. For me, I found it very clever and it was actually the part of the film that made me think about most. Of course it leaves questions rather than answers, but I think that was the point, it is ambiguous and open to interpretation and I certainly would have never thought of that. There could also be the possibility that there is no right or wrong answer, we are left to wonder for ourselves whether he was sane or not, and I think that was a reason for why the film ended inconclusively- I for one asked myself what did happen to Ted?Overall, very gripping and clever, with an ending that really makes you think. It is not what I consider a perfect film, but the direction and acting makes up for any misgivings. Plus it is probably a film you need to see more than once to completely understand or appreciate it. 9/10 Bethany Cox"
norbertranjith,"Jul 11, 2018",10/10,"I have been avoiding this movie for almost 8 years, since it got mixed reviews when it was released.I loved Scorcese's movies and was looking forward to watching this when it was released. But the trailer didn't impress and then the reviews.Watched it last night, and loved it. Watched it today again and was pleasantly surprised that the second view was more satisfying than the first go round. It's amazing how a different perspective can give a whole different movie experience. Scorsese is a genius!!!"
maureenmcqueen,"Feb 21, 2010",8/10,"Yes, Scorsese's eye is all over ""Shutter Island"" what I din't feel was his gut. And for me a Scorsese film bears his gut. From ""Mean Streets"" to ""The Age Of Innocence"", ""The King Of Comedy"", ""New York, New York"" The presence of his gut, his poetic gut, his Scorsese gut, made those experiences, emotional and timeless. ""Shutter Island"" is extraordinary to look at. It has some bravura shots that will take your breath away. It's no uniquely Scorsesian like, ""Raging Bull"" ""Casino"" or ""Goodfellas"" It doesn't have the energy and passion of ""Taxi Driver"" or the commitment of ""Bringing Out The Dead"", ""The Last Temptation Of Christ"" or ""Gangs of New York"", doesn't have the freshness of ""After Hours"", ""Alice Doesn't Live Here Anymore"" Doesn't have the scope or ambition of neither ""The Aviator"" nor ""The Departed"" but I liked it very much."
masonsaul,"Apr 29, 2020",9/10,"Despite some brief but weak CG, Shutter Island is an incredible psychological thiller that's extremely suspenseful, atmospheric and unpredictable. Leonardo DiCaprio is incredible and both Mark Ruffalo and Ben Kingsley are great. It's extremely well paced and the music Robbie Robertson is amazing. Martin Scorsese's direction is excellent and it's beautifully filmed."
brahmjeetsinghnagpal,"Oct 17, 2019",10/10,"'Shutter Island' is perhaps one of the best, if not the best, movies ever directed by Martin Scorsese. One cannot comprehend the experience in one-go. You will have to watch it twice or thrice to understand it enough, which is why Scorsese himself said back in 2010 that the movie would earn double profits because of people going to watch the movie twice.The movie stars Leonardo DiCaprio, Mark Ruffalo, Ben Kingsley and Max Von Sydow. They have, without doubt, given an excellent performance. And since it is directed by Martin Scorsese, you will of course be appealed by the cinematography and direction. But what's the most striking feature of this movie, the thing that makes this movie a real success is it's plot. The movie is an adaptation of the 2003 novel 'Shutter Island' by Dennis Lehane. The first half of the movie is calm and steady, but it is only a setting up for the terrific, unexpected ending which is absolutely shocking and jaw-dropping. There are several clues and intentional continuing errors that foreshadow the twist ending. The film is also filled with anagrams reminding me of which, did you know that the title 'Shutter Island' is actually an anagram for 'Truth and Lies'.The background score is also amazing, especially the one by Gustav Mahler. The background score maintains the rythm of the movie.There is only one inclusion by Martin Scorsese in the film which was not originally in the novel, the dialogue ""Which would be worse - to live as a monster, or to die as a good man?"", which happens to be one of the most famous quotes in cinema.Overall, 'Shutter Island' is completely watchable and enjoyable. There is a lot to learn in this film while it intensifies you. Personally for me, it is the best psychological thriller."
lesleyharris30,"Jul 25, 2013",9/10,"Shutter Island is an absolute breathtaking movie with a tremendous storyline that will keep you interested all the way through and a brilliant cast that all follow through with their performances in an overall terrific film once again from the great Martin Scorsese.The movie sounded pretty plain to me,I thought it would be an average thriller that I would enjoy but it would be pretty forgettable,but it totally wasn't,the movie had me curious and also confused,and the twist was one of the greatest,most surprising and most shocking twists i've ever seen in a movie,I literally never suspected it,not even once,and when it did happen I still didn't believe it.Shutter Island is a must see for all fans of Leonardo DiCaprio,Martin Scorsese,thriller and mystery.Teddy Daniels (Leonardo DiCaprio),a US Marshall,sets out with his partner to a mental institution in a quiet island to investigate where a missing patient could have gone.But there's something suspicious about the island that they didn't bargain for."
theognis2,"Mar 13, 2025",7/10,"This show involves such a jumble of the real, surreal, impressions, images, dreams and nightmares that it takes awhile to parse it out. A US marshal (Leonardo DiCaprio) and his partner (Mark Ruffalo) visit a mysterious ""island of lost souls,"" seeking a woman, who is a patient in an insane asylum, run by two psychiatrists (Ben Kingsley and Max von Sydow). The atmospherics by Director Martin Scorsese are excellent and gradually, we get what's going on, but it takes patience. This clever, unique film recalls Vladimir Nabokov, who in his afterward to his 1955 novel, ""Lolita,"" described this genre as ""He acts crazy. We all act crazy, I guess. I guess God acts crazy. Etc."""
nelson_keith,"Feb 17, 2010",10/10,"I read the novel so I knew the story going in, and I still got chills in several places and really was moved at how incredibly good this movie is. I won't get into the plot, because that could spoil things, but Leonardo DiCaprio investigates a missing patient/inmate in a top-secret island fortress for the criminally insane. He keeps getting frustrated as his interviews with doctors and patients raise more questions than answers. Ben Kingsley, who plays the primary doctor on the island, deserves a Supporting Actor Oscar nomination, and we will see how far the rest of the cast and movie will go into next year's awards.The best comparisons for me were the Shining, for the psychological horror aspects of both movies. And a little bit of Silence of the Lambs, when the hero goes into a row of cells to talk with one of the inmates/patients. DiCaprio is good, but not up to the level of a younger Jack Nicholson, who would have been absolutely brilliant in this part when he was in his mid-thirties.I am not sure if someone who hasn't read the book will be confused by some of the story... or simply be blown away at how it unfolds.I have seen all of Martin Scorsese's movies and this is one of his top 5 or 6, better than Cape Fear, Aviator and the Departed but a hair below Goodfellas, Raging Bull, and Taxi Driver.This is a very scary movie, the truest horror film Scorsese has ever done. I can't recommend it to my wife or otherwise squeamish viewers, there are too many terrifying moments for them to enjoy it.What a great movie, I will surely see it again in the theaters. Haven't seen one twice since the Hurt Locker, and before that one it's been 10 years."
